datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,399241,2464.58,2429.7,2466.4,2417.24,120239.0,7912213504.0,-1.07
2021-03-09,399241,2487.64,2456.0,2507.35,2432.3,146603.0,9592692736.0,-1.15
2021-03-08,399241,2527.02,2484.69,2546.97,2484.69,170979.0,9460250624.0,-0.95
2021-03-05,399241,2537.43,2508.61,2565.12,2476.98,133555.0,10134853632.0,-2.08
2021-03-04,399241,2584.68,2561.97,2625.68,2552.03,136066.0,10165763072.0,-1.35
2021-03-03,399241,2560.16,2596.9,2616.94,2546.35,120354.0,9501550592.0,0.76
2021-03-02,399241,2586.72,2577.4,2661.93,2573.23,134482.0,10586529792.0,-0.79
2021-03-01,399241,2581.09,2597.9,2619.42,2546.83,139356.0,10874447872.0,0.68
2021-02-26,399241,2583.45,2580.24,2639.17,2544.45,202463.0,18206431232.0,-1.75
2021-02-25,399241,2478.97,2626.19,2655.47,2477.0,248900.0,21340362752.0,6.92
2021-02-24,399241,2442.54,2456.31,2491.09,2429.0,120018.0,8811725824.0,0.55
2021-02-23,399241,2451.55,2442.78,2469.02,2424.87,111180.0,7834988032.0,-0.53
2021-02-22,399241,2439.47,2455.86,2493.43,2438.69,147788.0,9610478592.0,0.8
2021-02-19,399241,2396.53,2436.37,2436.37,2392.44,131474.0,8350465024.0,1.21
2021-02-18,399241,2332.4,2407.22,2407.96,2332.4,128668.0,8922543104.0,3.93
2021-02-10,399241,2309.24,2316.11,2331.37,2297.93,81665.0,5422489600.0,0.09
2021-02-09,399241,2316.32,2314.08,2316.32,2292.73,90612.0,5659766272.0,-0.42
2021-02-08,399241,2324.05,2323.95,2356.13,2305.63,104966.0,6652165120.0,0.17
2021-02-05,399241,2264.28,2320.0,2346.23,2264.28,134898.0,8376053248.0,2.63
2021-02-04,399241,2274.54,2260.53,2286.87,2247.7,115385.0,6128547840.0,-0.84
2021-02-03,399241,2302.52,2279.68,2303.22,2267.1,96448.0,5859337728.0,-1.08
2021-02-02,399241,2295.49,2304.63,2314.71,2281.59,94930.0,5943351296.0,0.76
2021-02-01,399241,2277.4,2287.15,2290.42,2250.62,94780.0,6283401216.0,0.48
2021-01-29,399241,2315.49,2276.24,2320.16,2263.04,99928.0,6690564096.0,-1.5
2021-01-28,399241,2346.79,2311.0,2346.87,2305.68,90012.0,6008221184.0,-2.46
2021-01-27,399241,2388.49,2369.23,2405.84,2368.11,95752.0,6151377408.0,-0.98
2021-01-26,399241,2379.87,2392.6,2422.26,2374.62,99644.0,6553151488.0,0.23
2021-01-25,399241,2398.14,2387.12,2404.37,2357.41,141336.0,8405621760.0,-0.85
2021-01-22,399241,2463.45,2407.56,2463.45,2399.89,158471.0,9582147584.0,-2.61
2021-01-21,399241,2494.52,2472.08,2504.68,2469.21,170708.0,9725705216.0,-1.27
2021-01-20,399241,2532.01,2503.94,2532.98,2495.29,132742.0,9236160512.0,-1.68
2021-01-19,399241,2504.18,2546.65,2603.36,2483.76,167534.0,13732850688.0,1.24
2021-01-18,399241,2456.44,2515.49,2515.49,2443.46,134366.0,10398696448.0,2.74
2021-01-15,399241,2441.46,2448.39,2494.17,2441.46,105158.0,8818769920.0,0.29
2021-01-14,399241,2423.75,2441.32,2475.21,2423.75,104058.0,8551945728.0,0.52
2021-01-13,399241,2434.2,2428.64,2443.19,2410.42,100572.0,7969845760.0,0.12
2021-01-12,399241,2428.45,2425.62,2432.74,2403.58,94302.0,7503662080.0,-0.18
2021-01-11,399241,2427.24,2430.09,2460.57,2416.26,111020.0,9466435584.0,0.31
2021-01-08,399241,2391.52,2422.46,2430.52,2376.01,103181.0,8235588096.0,1.34
2021-01-07,399241,2420.12,2390.49,2445.27,2370.31,100726.0,8878162944.0,-0.73
2021-01-06,399241,2373.78,2408.08,2408.59,2372.79,86114.0,7491636736.0,1.17
2021-01-05,399241,2366.33,2380.26,2380.26,2328.33,115067.0,9124644864.0,0.3
2021-01-04,399241,2421.73,2373.11,2421.73,2359.27,121983.0,9972625408.0,-2.78
2020-12-31,399241,2401.43,2440.88,2440.88,2397.06,95061.0,6428480000.0,1.46
2020-12-30,399241,2409.38,2405.81,2414.73,2396.26,61335.0,4600143872.0,-0.26
2020-12-29,399241,2397.54,2412.11,2424.7,2396.49,57486.0,4451313152.0,0.91
2020-12-28,399241,2390.71,2390.32,2405.95,2367.31,59015.0,4644430336.0,0.05
2020-12-25,399241,2379.49,2389.1,2395.52,2361.9,52343.0,3786972160.0,0.37
2020-12-24,399241,2402.43,2380.28,2409.4,2373.71,63519.0,4370930176.0,-0.89
2020-12-23,399241,2414.25,2401.73,2414.6,2385.49,68691.0,5398018560.0,-0.42
2020-12-22,399241,2428.17,2411.84,2450.41,2408.35,68398.0,5108947456.0,-1.08
2020-12-21,399241,2445.58,2438.05,2454.19,2421.12,62129.0,4903523840.0,-0.63
2020-12-18,399241,2473.53,2453.4,2478.26,2449.28,53232.0,4138495488.0,-0.76
2020-12-17,399241,2456.31,2472.22,2475.76,2431.74,58765.0,4357825024.0,0.52
2020-12-16,399241,2467.78,2459.49,2471.66,2441.31,58733.0,4100640512.0,-0.18
2020-12-15,399241,2481.94,2463.98,2481.94,2449.0,70322.0,4817607680.0,-0.95
2020-12-14,399241,2467.01,2487.66,2489.08,2459.78,73980.0,5528861696.0,1.18
2020-12-11,399241,2485.65,2458.75,2485.65,2438.03,82827.0,5952216576.0,-0.87
2020-12-10,399241,2489.69,2480.27,2496.16,2473.09,63737.0,4739432960.0,-0.26
2020-12-09,399241,2537.61,2486.65,2538.13,2486.31,67495.0,5131910656.0,-1.67
2020-12-08,399241,2547.75,2528.89,2554.01,2525.57,66757.0,4950813696.0,-0.7
2020-12-07,399241,2587.53,2546.74,2590.91,2543.7,74957.0,5865080320.0,-1.47
2020-12-04,399241,2633.61,2584.61,2633.61,2578.39,73043.0,6365510144.0,-1.68
2020-12-03,399241,2657.67,2628.69,2657.67,2611.5,88277.0,6232343552.0,-0.67
2020-12-02,399241,2633.59,2646.4,2692.0,2621.36,114319.0,8849486848.0,0.77
