datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,399240,1362.98,1341.35,1363.86,1339.57,100389.0,15237877760.0,-0.76
2021-03-09,399240,1394.92,1351.67,1402.23,1346.61,143888.0,21810317312.0,-3.14
2021-03-08,399240,1441.6,1395.47,1450.75,1395.47,147132.0,22706438144.0,-2.76
2021-03-05,399240,1421.68,1435.07,1446.03,1416.03,160688.0,24439201792.0,-0.12
2021-03-04,399240,1458.68,1436.82,1466.56,1430.62,143033.0,22429865984.0,-2.3
2021-03-03,399240,1412.89,1470.69,1470.93,1410.44,143267.0,22111193088.0,4.07
2021-03-02,399240,1432.21,1413.16,1435.96,1402.13,126985.0,20433448960.0,-1.03
2021-03-01,399240,1422.6,1427.88,1433.97,1413.02,115817.0,17993975808.0,1.11
2021-02-26,399240,1424.75,1412.25,1438.66,1409.0,135903.0,20729169920.0,-2.89
2021-02-25,399240,1470.49,1454.23,1481.14,1449.49,143790.0,22275141632.0,-0.41
2021-02-24,399240,1475.81,1460.16,1480.63,1441.58,140566.0,22042068992.0,-0.69
2021-02-23,399240,1472.17,1470.27,1493.9,1462.61,146025.0,22269544448.0,-0.28
2021-02-22,399240,1539.51,1474.33,1539.51,1474.33,214041.0,35023785984.0,-4.24
2021-02-19,399240,1523.11,1539.66,1540.7,1516.2,156994.0,24040472576.0,0.16
2021-02-18,399240,1555.21,1537.21,1565.36,1531.42,149542.0,26163206144.0,0.53
2021-02-10,399240,1537.55,1529.17,1548.48,1512.75,126623.0,23468691456.0,-0.53
2021-02-09,399240,1507.72,1537.28,1541.63,1491.15,140611.0,25273939968.0,1.94
2021-02-08,399240,1500.57,1508.08,1511.0,1479.96,115835.0,19766001664.0,0.57
2021-02-05,399240,1492.78,1499.47,1521.04,1487.05,142016.0,19792011264.0,0.8
2021-02-04,399240,1483.93,1487.62,1508.17,1471.28,140311.0,21848098816.0,-0.93
2021-02-03,399240,1494.98,1501.63,1514.67,1484.55,128951.0,24093274112.0,0.24
2021-02-02,399240,1488.43,1498.09,1502.49,1480.23,145625.0,26983172096.0,-0.29
2021-02-01,399240,1479.81,1502.49,1515.04,1472.29,141230.0,24762281984.0,1.84
2021-01-29,399240,1493.17,1475.36,1499.97,1450.21,150449.0,26946803712.0,-0.7
2021-01-28,399240,1488.05,1485.76,1501.98,1477.28,140327.0,22257055744.0,-1.34
2021-01-27,399240,1483.71,1505.87,1513.85,1483.71,123221.0,21575397376.0,1.68
2021-01-26,399240,1513.32,1480.97,1531.49,1480.65,165155.0,30538121216.0,-3.04
2021-01-25,399240,1518.48,1527.44,1541.24,1501.75,169053.0,29674006528.0,0.1
2021-01-22,399240,1542.2,1525.84,1542.2,1509.69,190827.0,29849841664.0,-1.59
2021-01-21,399240,1528.8,1550.43,1578.32,1528.69,192489.0,32531716096.0,1.59
2021-01-20,399240,1528.85,1526.19,1546.75,1519.74,154732.0,25811726336.0,0.1
2021-01-19,399240,1538.34,1524.71,1556.5,1516.4,186431.0,28959008768.0,-1.2
2021-01-18,399240,1492.45,1543.3,1561.55,1490.78,189913.0,32321579008.0,3.45
2021-01-15,399240,1495.38,1491.9,1532.92,1482.63,212325.0,33120593920.0,0.79
2021-01-14,399240,1505.21,1480.17,1507.15,1478.08,196012.0,31435149312.0,-2.47
2021-01-13,399240,1531.71,1517.59,1543.86,1498.57,239428.0,40112353280.0,-1.56
2021-01-12,399240,1450.14,1541.62,1541.62,1448.99,300427.0,46072664064.0,6.09
2021-01-11,399240,1477.5,1453.06,1492.29,1450.15,210838.0,31363237888.0,-1.15
2021-01-08,399240,1477.53,1469.93,1483.68,1455.36,209166.0,31498225664.0,-0.7
2021-01-07,399240,1456.88,1480.22,1480.22,1439.19,243854.0,34111645696.0,1.5
