datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,000145,4113.48,4083.92,4143.29,4050.05,267330.0,29286998016.0,-0.1
2021-03-09,000145,4154.62,4088.05,4208.32,3990.67,365598.0,39429517312.0,-2.41
2021-03-08,000145,4333.1,4188.84,4380.03,4188.84,337894.0,38644305920.0,-1.49
2021-03-05,000145,4262.21,4252.2,4300.27,4200.88,359488.0,42015260672.0,-3.91
2021-03-04,000145,4458.24,4425.37,4498.07,4396.46,438380.0,52308287488.0,-2.67
2021-03-03,000145,4387.35,4546.66,4552.03,4382.84,391391.0,46640795648.0,3.9
2021-03-02,000145,4486.02,4375.86,4486.06,4350.66,438569.0,52705558528.0,-2.92
2021-03-01,000145,4376.1,4507.47,4512.99,4335.49,383806.0,45851672576.0,3.33
2021-02-26,000145,4349.24,4362.31,4477.3,4339.37,397167.0,44377276416.0,-3.97
2021-02-25,000145,4702.84,4542.43,4717.86,4521.6,420080.0,47887532032.0,-0.44
2021-02-24,000145,4732.32,4562.53,4794.98,4527.88,482565.0,58284879872.0,-3.74
2021-02-23,000145,4698.57,4739.78,4837.48,4674.73,548140.0,66928410624.0,-0.53
2021-02-22,000145,4698.56,4765.07,4951.9,4697.68,671624.0,79254831104.0,4.11
2021-02-19,000145,4447.6,4577.13,4594.36,4396.11,515259.0,61153153024.0,2.79
2021-02-18,000145,4402.17,4453.06,4454.04,4373.31,400760.0,43145601024.0,7.43
2021-02-10,000145,4051.13,4144.95,4165.57,4022.26,273588.0,33081696256.0,2.57
2021-02-09,000145,3908.06,4041.22,4055.68,3907.39,246602.0,26840238080.0,4.19
2021-02-08,000145,3781.72,3878.73,3894.42,3741.37,225397.0,24179959808.0,3.33
2021-02-05,000145,3911.92,3753.65,3931.03,3753.65,251451.0,28651352064.0,-4.49
2021-02-04,000145,4015.29,3930.12,4035.84,3857.86,291605.0,31774912512.0,-2.43
2021-02-03,000145,3935.09,4028.12,4093.65,3929.96,297074.0,33855920128.0,1.45
2021-02-02,000145,3934.68,3970.51,3983.1,3881.07,251148.0,28761655296.0,1.58
2021-02-01,000145,3883.03,3908.83,3916.9,3836.55,243845.0,26592622592.0,0.5
2021-01-29,000145,3981.56,3889.36,3998.34,3814.43,269825.0,30914260992.0,-0.95
2021-01-28,000145,3962.93,3926.5,4031.79,3920.21,261573.0,29622634496.0,-3.24
2021-01-27,000145,4058.53,4058.16,4086.3,3967.71,270820.0,32277880832.0,-0.51
2021-01-26,000145,4099.94,4078.85,4146.78,4019.24,320408.0,37659779072.0,-1.18
2021-01-25,000145,4086.21,4127.46,4203.76,4055.32,362169.0,42145726464.0,1.42
2021-01-22,000145,4084.95,4069.55,4113.1,4022.57,335675.0,39380537344.0,-0.38
2021-01-21,000145,3958.29,4085.16,4107.21,3951.9,322113.0,32529475584.0,3.54
2021-01-20,000145,3840.56,3945.34,3949.5,3840.56,255335.0,26610679808.0,2.73
2021-01-19,000145,3936.07,3840.47,3963.18,3819.15,276078.0,29320564736.0,-2.34
2021-01-18,000145,3877.18,3932.48,3944.44,3829.52,250793.0,25639069696.0,1.59
2021-01-15,000145,3873.27,3870.9,3928.21,3803.03,262617.0,26797979648.0,0.38
2021-01-14,000145,3899.78,3856.19,3908.7,3833.93,269339.0,26935148544.0,-1.59
2021-01-13,000145,3971.61,3918.5,4074.15,3899.27,361284.0,37733023744.0,-1.31
2021-01-12,000145,3863.55,3970.52,3970.56,3858.0,288537.0,28705652736.0,1.39
2021-01-11,000145,4033.89,3916.26,4050.65,3898.3,403102.0,40460619776.0,-4.52
2021-01-08,000145,4120.23,4101.85,4122.41,3983.14,392239.0,36392034304.0,0.12
2021-01-07,000145,3932.83,4096.96,4113.71,3926.13,474171.0,42586644480.0,3.9
2021-01-06,000145,3939.51,3943.22,3968.96,3880.68,339095.0,30410405888.0,0.74
2021-01-05,000145,3905.57,3914.32,3934.97,3827.58,361906.0,32225882112.0,0.27
2021-01-04,000145,3777.04,3903.91,3926.96,3775.56,358818.0,32741515264.0,4.03
2020-12-31,000145,3702.88,3752.68,3770.59,3697.65,268759.0,24119699456.0,1.27
2020-12-30,000145,3644.93,3705.46,3742.08,3640.0,285005.0,23396853760.0,2.04
2020-12-29,000145,3793.52,3631.21,3793.52,3630.58,312648.0,25723940864.0,-4.27
2020-12-28,000145,3766.07,3793.06,3823.6,3759.85,335325.0,27876626432.0,1.04
2020-12-25,000145,3602.53,3754.12,3762.26,3576.99,288649.0,24724639744.0,3.78
2020-12-24,000145,3633.1,3617.47,3661.69,3595.24,195347.0,16716440576.0,0.01
2020-12-23,000145,3553.47,3617.25,3659.55,3553.47,256728.0,22199351296.0,1.32
2020-12-22,000145,3721.11,3569.98,3721.3,3560.88,313718.0,28429068288.0,-5.13
2020-12-21,000145,3710.03,3762.95,3762.95,3682.57,293950.0,27995115520.0,1.93
2020-12-18,000145,3629.25,3691.56,3714.76,3615.6,340920.0,29509044224.0,2.56
2020-12-17,000145,3452.48,3599.28,3606.76,3443.48,297399.0,24210124800.0,4.15
2020-12-16,000145,3473.52,3455.89,3500.7,3435.06,142183.0,12784302080.0,-0.13
2020-12-15,000145,3459.54,3460.54,3465.59,3414.47,158017.0,14065700864.0,-0.48
2020-12-14,000145,3468.94,3477.33,3480.19,3421.52,198490.0,16929959936.0,-0.96
2020-12-11,000145,3616.66,3511.07,3640.47,3469.98,246325.0,20909608960.0,-1.11
2020-12-10,000145,3562.1,3550.39,3567.89,3512.12,196803.0,16312828928.0,-0.9
2020-12-09,000145,3609.12,3582.73,3656.99,3580.97,224850.0,20024576000.0,-0.65
2020-12-08,000145,3629.79,3606.3,3637.28,3585.08,184096.0,17018447872.0,-0.2
2020-12-07,000145,3657.77,3613.57,3688.23,3613.57,190822.0,17762484224.0,-1.29
2020-12-04,000145,3596.34,3660.63,3660.89,3580.72,193480.0,17686337536.0,1.48
2020-12-03,000145,3703.0,3607.42,3703.0,3605.18,251848.0,21560055808.0,-3.35
2020-12-02,000145,3746.91,3732.55,3778.61,3698.97,265130.0,23698188288.0,0.14
2020-12-01,000145,3686.33,3727.24,3727.24,3653.33,250904.0,21945677824.0,0.63
2020-11-30,000145,3667.08,3703.89,3787.31,3660.88,364883.0,31332171776.0,0.98
2020-11-27,000145,3670.57,3668.11,3680.6,3583.71,252153.0,22598514688.0,0.07
2020-11-26,000145,3656.39,3665.44,3670.33,3617.51,275244.0,24813490176.0,0.41
2020-11-25,000145,3737.0,3650.4,3774.17,3650.4,400668.0,35609792512.0,-2.18
2020-11-24,000145,3651.21,3731.79,3739.39,3626.54,390295.0,33225304064.0,1.02
2020-11-23,000145,3609.35,3693.99,3748.64,3600.16,477718.0,37694337024.0,3.44
2020-11-20,000145,3454.19,3571.13,3582.29,3447.85,286007.0,22535055360.0,3.1
2020-11-19,000145,3498.47,3463.63,3505.06,3427.62,203606.0,16828545024.0,-1.25
2020-11-18,000145,3463.08,3507.45,3543.97,3459.53,268913.0,22420453376.0,1.26
2020-11-17,000145,3492.93,3463.68,3524.4,3445.49,253210.0,22776727552.0,-1.33
2020-11-16,000145,3386.6,3510.37,3540.51,3380.64,339212.0,28679378944.0,4.19
2020-11-13,000145,3359.86,3369.05,3396.53,3336.06,192728.0,18437869568.0,0.43
2020-11-12,000145,3340.63,3354.51,3369.33,3310.15,153569.0,14423071744.0,-0.02
2020-11-11,000145,3331.06,3355.05,3398.93,3329.17,216774.0,18606876672.0,0.35
2020-11-10,000145,3367.94,3343.45,3382.25,3327.38,229837.0,19786496000.0,-1.59
