datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,000819,5382.19,5315.77,5407.96,5276.21,374104.0,44334436352.0,-0.08
2021-03-09,000819,5376.86,5319.91,5483.72,5152.58,510898.0,57855275008.0,-1.63
2021-03-08,000819,5664.31,5408.05,5707.3,5408.04,406301.0,53186961408.0,-2.79
2021-03-05,000819,5516.85,5563.39,5630.34,5457.72,456090.0,57994002432.0,-3.39
2021-03-04,000819,5848.55,5758.85,5864.18,5717.71,606924.0,75916541952.0,-3.94
2021-03-03,000819,5799.12,5994.76,6001.66,5790.48,510974.0,64147243008.0,3.73
2021-03-02,000819,5959.69,5778.99,5959.69,5731.28,584673.0,71696695296.0,-3.37
2021-03-01,000819,5801.47,5980.29,5983.92,5762.18,511839.0,63393316864.0,3.71
2021-02-26,000819,5735.81,5766.1,5919.16,5728.62,525512.0,61669847040.0,-4.47
2021-02-25,000819,6298.05,6035.96,6317.04,6002.74,575672.0,68903084032.0,-1.14
2021-02-24,000819,6372.86,6105.41,6474.21,6047.16,666791.0,83657777152.0,-4.44
2021-02-23,000819,6362.7,6389.01,6542.18,6318.74,796507.0,95956721664.0,-1.39
2021-02-22,000819,6381.85,6478.98,6700.85,6381.85,812662.0,105108709376.0,4.79
2021-02-19,000819,6078.96,6182.63,6217.52,5934.61,665396.0,79965159424.0,1.4
2021-02-18,000819,6103.11,6097.22,6122.55,5977.12,506514.0,63040028672.0,6.56
2021-02-10,000819,5589.12,5722.12,5752.7,5522.31,356861.0,46602969088.0,2.68
2021-02-09,000819,5373.0,5572.53,5593.11,5370.86,322953.0,40881700864.0,4.99
2021-02-08,000819,5156.38,5307.65,5333.4,5089.78,303262.0,37702873088.0,4.1
2021-02-05,000819,5347.85,5098.67,5393.85,5096.44,345535.0,44864974848.0,-5.0
2021-02-04,000819,5559.86,5366.79,5567.46,5287.58,391562.0,48583749632.0,-4.1
2021-02-03,000819,5512.88,5596.47,5720.38,5491.39,406256.0,52094480384.0,0.55
2021-02-02,000819,5445.29,5566.02,5577.86,5381.92,340846.0,45341294592.0,2.94
2021-02-01,000819,5369.7,5407.1,5438.23,5306.36,336346.0,41697112064.0,1.14
2021-01-29,000819,5507.45,5346.11,5529.93,5220.17,351218.0,47097761792.0,-1.22
2021-01-28,000819,5469.64,5412.22,5589.56,5398.45,343523.0,43950522368.0,-3.69
2021-01-27,000819,5634.38,5619.66,5669.71,5442.66,362155.0,49178968064.0,-0.62
2021-01-26,000819,5715.94,5654.46,5774.2,5532.72,441730.0,57509466112.0,-1.81
2021-01-25,000819,5698.35,5758.75,5920.56,5665.04,509355.0,68116918272.0,1.42
2021-01-22,000819,5610.16,5678.05,5732.72,5543.55,463470.0,62041817088.0,0.94
2021-01-21,000819,5440.88,5625.34,5674.09,5411.62,470319.0,54626959360.0,3.57
2021-01-20,000819,5289.81,5431.62,5445.37,5289.81,345946.0,41809895424.0,3.01
2021-01-19,000819,5452.09,5272.74,5479.14,5229.52,364407.0,45350207488.0,-3.52
2021-01-18,000819,5353.43,5464.89,5486.66,5279.44,324214.0,39988056064.0,1.52
2021-01-15,000819,5345.13,5383.05,5422.6,5228.16,340671.0,41774288896.0,1.05
2021-01-14,000819,5386.99,5326.9,5430.35,5282.85,374622.0,43750969344.0,-2.01
2021-01-13,000819,5618.04,5435.93,5769.97,5403.47,503814.0,62111723520.0,-3.15
2021-01-12,000819,5384.47,5612.45,5616.02,5351.73,413480.0,49977896960.0,2.3
2021-01-11,000819,5671.8,5486.28,5739.3,5445.12,588252.0,68671737856.0,-4.28
2021-01-08,000819,5797.23,5731.41,5799.31,5511.76,519388.0,58014867456.0,-0.36
2021-01-07,000819,5510.14,5752.11,5772.79,5494.61,601519.0,63853461504.0,3.91
2021-01-06,000819,5563.83,5535.71,5611.1,5440.1,448015.0,47718068224.0,0.49
2021-01-05,000819,5465.66,5508.72,5558.35,5369.2,505257.0,53576056832.0,1.09
2021-01-04,000819,5224.4,5449.34,5484.24,5223.7,501732.0,52960157696.0,5.71
2020-12-31,000819,5062.02,5154.77,5190.3,5060.01,380868.0,39604686848.0,1.73
2020-12-30,000819,4955.01,5067.0,5111.13,4955.01,389782.0,39509843968.0,2.81
