datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,399239,1688.79,1637.19,1691.75,1634.57,254456.0,29018292224.0,-1.63
2021-03-09,399239,1712.7,1664.4,1715.84,1649.97,322510.0,37800468480.0,-3.02
2021-03-08,399239,1763.57,1716.25,1776.62,1716.25,324753.0,38146732032.0,-2.11
2021-03-05,399239,1715.55,1753.33,1761.09,1714.78,321751.0,34109581312.0,1.33
2021-03-04,399239,1746.48,1730.3,1749.98,1724.81,279189.0,32537223168.0,-1.48
2021-03-03,399239,1741.19,1756.36,1757.44,1734.09,257454.0,30935400448.0,0.66
2021-03-02,399239,1755.71,1744.76,1758.39,1731.54,289591.0,34588585984.0,-0.4
2021-03-01,399239,1722.9,1751.73,1751.97,1722.9,324769.0,35776737280.0,2.48
2021-02-26,399239,1689.96,1709.29,1721.06,1688.0,299681.0,31684513792.0,-0.19
2021-02-25,399239,1747.63,1712.46,1751.2,1707.78,288570.0,33078112256.0,-1.44
2021-02-24,399239,1744.6,1737.5,1768.93,1722.39,340836.0,41205149696.0,-0.22
2021-02-23,399239,1747.97,1741.37,1759.42,1736.02,305226.0,33411438592.0,-1.02
2021-02-22,399239,1783.65,1759.27,1799.95,1758.45,428703.0,47945932800.0,-1.12
2021-02-19,399239,1738.61,1779.24,1779.61,1727.37,361174.0,39304867840.0,2.46
2021-02-18,399239,1722.05,1736.46,1749.24,1718.77,332539.0,38828593152.0,2.54
2021-02-10,399239,1670.07,1693.48,1697.46,1663.38,247975.0,29124325376.0,1.65
2021-02-09,399239,1646.03,1666.01,1669.46,1638.96,232068.0,26797686784.0,1.99
2021-02-08,399239,1624.77,1633.45,1644.34,1607.93,228999.0,25570222080.0,0.74
2021-02-05,399239,1659.95,1621.43,1676.83,1621.43,264775.0,29571037184.0,-2.41
2021-02-04,399239,1703.29,1661.42,1703.29,1637.4,341747.0,40360189952.0,-2.46
2021-02-03,399239,1747.31,1703.26,1747.31,1701.5,325659.0,39672246272.0,-2.68
2021-02-02,399239,1740.6,1750.19,1751.76,1722.57,323575.0,36103745536.0,0.61
2021-02-01,399239,1722.74,1739.6,1752.46,1722.74,344270.0,35750080512.0,0.39
2021-01-29,399239,1760.28,1732.77,1768.39,1711.26,400783.0,42669993984.0,-1.04
2021-01-28,399239,1760.99,1751.03,1791.69,1749.28,402420.0,45116846080.0,-1.52
2021-01-27,399239,1751.39,1778.01,1784.81,1743.13,411121.0,43916414976.0,1.49
2021-01-26,399239,1763.86,1751.95,1785.54,1750.24,274443.0,36476092416.0,-1.02
2021-01-25,399239,1807.99,1769.97,1808.34,1769.97,308175.0,41755054080.0,-2.44
2021-01-22,399239,1837.07,1814.29,1837.07,1797.54,321515.0,40763125760.0,-1.37
2021-01-21,399239,1805.1,1839.53,1844.86,1804.98,362900.0,45321121792.0,2.08
2021-01-20,399239,1802.9,1802.09,1805.68,1790.77,280228.0,33744967680.0,0.13
2021-01-19,399239,1806.7,1799.72,1818.65,1796.26,368956.0,43726876672.0,-0.2
2021-01-18,399239,1762.44,1803.31,1806.58,1757.98,282305.0,36506079232.0,2.32
