datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,399368,7082.064,6941.134,7119.064,6919.354,75458.0,15110716416.0,-0.94
2021-03-09,399368,7308.034,7006.714,7322.404,6959.414,108436.0,24035620864.0,-5.1
2021-03-08,399368,7860.884,7383.164,7893.944,7383.164,111717.0,27742214144.0,-6.19
2021-03-05,399368,7871.124,7870.574,7964.294,7743.614,91037.0,21515200512.0,-1.64
2021-03-04,399368,8060.854,8002.204,8229.414,7967.414,113919.0,26536841216.0,-1.43
2021-03-03,399368,8034.174,8118.104,8118.694,7991.414,76683.0,20398254080.0,0.09
2021-03-02,399368,8116.764,8111.004,8157.604,7927.004,86774.0,23927212032.0,0.48
2021-03-01,399368,7931.584,8072.374,8073.794,7863.294,76669.0,19607287808.0,2.27
2021-02-26,399368,7947.414,7893.114,8058.444,7856.484,89065.0,22835329024.0,-2.78
2021-02-25,399368,7981.984,8118.494,8215.664,7948.074,108522.0,29504370688.0,1.75
2021-02-24,399368,7991.894,7978.674,8093.124,7844.064,122834.0,28236572672.0,0.43
2021-02-23,399368,7688.074,7944.124,8013.774,7639.434,108481.0,26647750656.0,2.2
2021-02-22,399368,8011.884,7772.884,8066.174,7772.844,111454.0,25421787136.0,-2.93
2021-02-19,399368,7943.604,8007.164,8012.534,7868.984,80754.0,19641491456.0,0.53
2021-02-18,399368,8050.784,7964.614,8088.514,7940.784,87488.0,22959929344.0,0.24
2021-02-10,399368,7982.084,7945.564,7982.084,7806.024,79793.0,21890359296.0,-0.23
2021-02-09,399368,7618.874,7963.514,7978.644,7580.484,91039.0,24023341056.0,5.01
2021-02-08,399368,7580.364,7583.384,7659.894,7472.774,66543.0,16423078912.0,0.3
2021-02-05,399368,7802.434,7560.594,7853.004,7557.784,69385.0,16922439680.0,-2.15
2021-02-04,399368,7803.834,7726.874,7934.804,7618.104,87961.0,20981954560.0,-1.54
2021-02-03,399368,8118.724,7847.494,8139.014,7842.394,91811.0,23161229312.0,-3.44
2021-02-02,399368,8047.324,8127.214,8135.884,7947.584,86395.0,22880851968.0,1.3
2021-02-01,399368,8084.164,8023.114,8148.394,7992.484,84367.0,20509317120.0,-0.57
2021-01-29,399368,8367.844,8069.104,8409.524,7911.224,114078.0,30575151104.0,-3.0
2021-01-28,399368,8356.664,8318.794,8536.924,8293.534,104388.0,25811113984.0,-1.45
2021-01-27,399368,8390.714,8441.084,8511.454,8326.074,96193.0,28349591552.0,-0.36
2021-01-26,399368,8903.774,8471.764,8903.774,8438.554,155130.0,42863333376.0,-5.98
2021-01-25,399368,9032.394,9011.024,9226.474,8944.665,148321.0,44212510720.0,0.06
2021-01-22,399368,8982.284,9005.304,9032.584,8848.744,127392.0,34882199552.0,-0.17
2021-01-21,399368,8909.223,9020.364,9084.784,8880.003,125686.0,35158745088.0,0.96
2021-01-20,399368,8789.283,8935.003,8966.443,8734.102,106621.0,29596614656.0,1.45
2021-01-19,399368,8927.623,8807.293,9043.213,8760.743,121244.0,32020271104.0,-1.93
2021-01-18,399368,8792.312,8980.333,9038.052,8792.203,137949.0,35852320768.0,2.43
2021-01-15,399368,8825.193,8767.672,8926.373,8557.193,155016.0,39747919872.0,-1.21
2021-01-14,399368,9270.253,8874.783,9270.253,8868.603,200034.0,52052201472.0,-5.43
2021-01-13,399368,9539.593,9384.603,9612.993,9287.543,230799.0,55783161856.0,-1.02
2021-01-12,399368,9132.972,9481.283,9509.493,9132.852,196199.0,51300433920.0,3.58
2021-01-11,399368,9482.802,9153.772,9621.952,9086.102,186903.0,53917544448.0,-2.24
2021-01-08,399368,9554.722,9363.733,9599.613,9280.792,170736.0,48468475904.0,-2.37
2021-01-07,399368,9351.422,9591.162,9635.032,9289.693,200412.0,53722001408.0,1.76
2021-01-06,399368,9299.142,9425.092,9601.453,9241.592,218667.0,53465034752.0,0.82
2021-01-05,399368,9208.502,9348.332,9519.412,9159.322,219626.0,56887205888.0,0.79
2021-01-04,399368,8867.062,9275.092,9332.552,8867.062,224370.0,55877632000.0,6.32
2020-12-31,399368,8379.521,8723.542,8732.532,8379.521,177881.0,42132725760.0,4.22
2020-12-30,399368,8138.712,8370.332,8472.252,8121.962,134973.0,33241425920.0,2.23
2020-12-29,399368,8185.452,8187.622,8348.572,8100.062,122932.0,29407987712.0,-0.25
2020-12-28,399368,8241.372,8208.152,8345.532,8136.172,104450.0,27422425088.0,-0.38
2020-12-25,399368,8156.821,8239.561,8268.571,8047.091,108535.0,28463843328.0,0.83
2020-12-24,399368,8156.291,8171.441,8417.121,8148.971,165986.0,43741618176.0,0.85
2020-12-23,399368,7778.441,8102.761,8102.761,7749.341,127374.0,33179641856.0,4.61
2020-12-22,399368,7860.141,7745.611,7934.351,7745.611,105129.0,25043312640.0,-1.72
2020-12-21,399368,7570.961,7881.181,7893.721,7568.011,101970.0,26288545792.0,4.03
2020-12-18,399368,7603.731,7576.091,7692.631,7562.861,78860.0,18117505024.0,-0.09
2020-12-17,399368,7600.791,7583.121,7634.771,7426.611,87355.0,19893504000.0,-0.46
2020-12-16,399368,7633.861,7617.821,7686.411,7571.691,84546.0,18688983040.0,-0.34
2020-12-15,399368,7586.381,7643.431,7718.591,7547.571,80933.0,18522267648.0,0.55
2020-12-14,399368,7438.551,7601.701,7611.941,7382.341,83814.0,19922505728.0,1.86
2020-12-11,399368,7628.911,7462.751,7631.221,7389.521,118846.0,23969538048.0,-2.29
2020-12-10,399368,7607.111,7637.511,7694.391,7548.531,84300.0,19060545536.0,-0.11
2020-12-09,399368,7774.171,7646.041,7845.891,7645.441,104624.0,22826590208.0,-1.74
2020-12-08,399368,7798.011,7781.681,7844.981,7759.901,77069.0,17854935040.0,-0.45
2020-12-07,399368,7818.881,7816.901,7898.701,7793.921,84019.0,20455065600.0,0.25
2020-12-04,399368,7712.481,7797.151,7809.971,7647.281,78230.0,18361925632.0,0.92
2020-12-03,399368,7818.041,7726.181,7818.041,7710.521,90260.0,19934715904.0,-1.41
2020-12-02,399368,7801.321,7836.711,7877.341,7777.711,99650.0,24034447360.0,0.4
2020-12-01,399368,7652.311,7805.131,7819.431,7635.631,103748.0,24175859712.0,2.1
2020-11-30,399368,7612.801,7644.791,7728.901,7572.161,117910.0,25554212864.0,0.42
2020-11-27,399368,7512.181,7612.711,7721.601,7450.491,117973.0,26864197632.0,1.12
2020-11-26,399368,7410.361,7528.181,7561.821,7381.551,107035.0,21653116928.0,1.71
2020-11-25,399368,7592.281,7401.601,7614.051,7395.391,89526.0,19089250304.0,-2.7
2020-11-24,399368,7560.791,7607.011,7674.341,7558.191,96821.0,21436356608.0,0.51
2020-11-23,399368,7545.001,7568.641,7620.081,7455.071,108432.0,23180359680.0,0.19
2020-11-20,399368,7476.041,7554.621,7618.111,7459.661,111835.0,26504448000.0,1.08
2020-11-19,399368,7181.891,7473.761,7496.861,7134.851,117494.0,26244509696.0,3.66
2020-11-18,399368,7165.401,7210.151,7247.221,7153.731,64629.0,12916071424.0,0.59
2020-11-17,399368,7287.311,7167.961,7287.311,7124.721,69369.0,15087843328.0,-1.89
2020-11-16,399368,7251.451,7305.951,7315.601,7231.441,68665.0,15882274816.0,0.55
2020-11-13,399368,7147.001,7265.771,7297.661,7064.851,81733.0,19475165184.0,1.48
2020-11-12,399368,7222.601,7159.761,7272.971,7141.801,56492.0,12003320832.0,-0.64
2020-11-11,399368,7356.431,7205.651,7394.311,7199.291,66364.0,15214317568.0,-2.24
2020-11-10,399368,7513.331,7371.101,7513.331,7341.711,74760.0,17650028544.0,-2.07
2020-11-09,399368,7354.631,7526.561,7539.791,7326.241,105633.0,23238596608.0,2.43
2020-11-06,399368,7456.391,7347.851,7456.391,7299.211,65692.0,14658209792.0,-1.48
2020-11-05,399368,7478.001,7458.021,7510.611,7356.141,76291.0,16276338688.0,-0.0
2020-11-04,399368,7405.471,7458.371,7487.481,7325.791,84723.0,17634881536.0,0.75
2020-11-03,399368,7182.241,7403.121,7405.571,7142.591,84747.0,18802855936.0,3.5
2020-11-02,399368,7231.271,7152.721,7246.701,7062.731,86107.0,19027085312.0,-1.2
2020-10-30,399368,7396.881,7239.361,7518.651,7227.381,91588.0,21682868224.0,-1.28
2020-10-29,399368,7300.331,7333.161,7379.751,7263.101,69045.0,14877184000.0,-1.11
2020-10-28,399368,7490.551,7415.511,7490.921,7315.071,68208.0,14833639424.0,-1.08
2020-10-27,399368,7427.181,7496.801,7519.661,7422.221,65780.0,14717390848.0,0.45
2020-10-26,399368,7401.521,7463.281,7484.761,7317.161,58531.0,14182304768.0,0.48
2020-10-23,399368,7534.681,7427.911,7595.191,7409.531,63838.0,14306158592.0,-1.33
2020-10-22,399368,7550.031,7528.111,7564.891,7464.091,61817.0,14539630592.0,-0.9
2020-10-21,399368,7830.391,7596.641,7830.391,7576.011,76743.0,19832758272.0,-3.12
2020-10-20,399368,7779.531,7840.921,7841.431,7704.281,64050.0,14904860672.0,0.46
2020-10-19,399368,7912.381,7804.821,7935.111,7791.121,77508.0,17564784640.0,-0.47
2020-10-16,399368,7959.711,7841.811,7996.111,7811.521,71711.0,18639233024.0,-1.58
2020-10-15,399368,7988.681,7967.801,8046.081,7963.461,84694.0,20975630336.0,-0.5
2020-10-14,399368,8084.401,8007.551,8179.931,7984.341,99122.0,24481105920.0,-0.93
2020-10-13,399368,8019.991,8082.611,8100.881,7981.111,96160.0,23730876416.0,0.49
2020-10-12,399368,7774.691,8043.301,8062.641,7769.671,131509.0,31255005184.0,3.97
2020-10-09,399368,7725.921,7736.101,7762.001,7677.251,91283.0,20342194176.0,1.78
2020-09-30,399368,7614.061,7600.901,7643.081,7540.701,84346.0,18073600000.0,0.04
2020-09-29,399368,7407.181,7598.191,7653.421,7406.911,90879.0,20706396160.0,3.36
2020-09-28,399368,7444.951,7351.271,7467.511,7349.221,51044.0,11439200256.0,-1.18
2020-09-25,399368,7473.291,7438.691,7510.301,7411.071,59157.0,12836089856.0,0.07
2020-09-24,399368,7594.241,7433.281,7606.301,7433.281,74870.0,15197384704.0,-3.04
2020-09-23,399368,7697.811,7666.731,7708.451,7598.501,65316.0,15203091456.0,-0.07
2020-09-22,399368,7728.011,7671.811,7765.031,7644.431,84526.0,18858672128.0,-2.14
2020-09-21,399368,7713.821,7839.791,7949.891,7712.751,126133.0,30004461568.0,2.24
2020-09-18,399368,7493.521,7668.091,7670.861,7493.521,97463.0,22285271040.0,2.39
2020-09-17,399368,7402.331,7489.421,7539.271,7316.701,84968.0,18061137920.0,1.17
2020-09-16,399368,7491.831,7402.491,7491.831,7369.141,69492.0,13989765120.0,-1.51
2020-09-15,399368,7418.881,7516.111,7517.851,7401.541,84806.0,18031048704.0,1.41
2020-09-14,399368,7464.381,7411.391,7481.371,7358.011,78353.0,16742841344.0,-0.23
2020-09-11,399368,7369.481,7428.701,7432.981,7296.061,77409.0,15769235456.0,0.47
2020-09-10,399368,7670.121,7393.601,7692.261,7380.771,118583.0,22604331008.0,-3.16
2020-09-09,399368,7660.921,7635.021,7775.531,7518.851,146649.0,28748529664.0,-1.42
2020-09-08,399368,7777.251,7744.791,7798.051,7624.601,110283.0,22490238976.0,-0.01
2020-09-07,399368,7971.741,7745.371,8030.891,7715.611,127430.0,27642398720.0,-3.01
2020-09-04,399368,7892.271,7985.411,8000.731,7885.081,99109.0,21677369344.0,-0.4
2020-09-03,399368,8069.581,8017.611,8071.171,7923.201,117716.0,25016766464.0,-1.09
