datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,399277,3573.56,3514.61,3583.72,3500.01,53689.0,20661428224.0,0.27
2021-03-09,399277,3597.79,3505.07,3609.64,3449.07,75076.0,26707609600.0,-2.95
2021-03-08,399277,3781.28,3611.61,3801.79,3611.61,69026.0,26507624448.0,-4.03
2021-03-05,399277,3684.33,3763.17,3793.45,3683.08,54085.0,18624847872.0,0.28
2021-03-04,399277,3848.38,3752.76,3858.04,3744.23,59123.0,22665023488.0,-3.29
2021-03-03,399277,3837.7,3880.41,3881.6,3821.4,49189.0,18166124544.0,0.43
2021-03-02,399277,3920.22,3863.76,3932.81,3839.69,56823.0,23963637760.0,-1.02
2021-03-01,399277,3858.32,3903.44,3905.14,3814.54,59992.0,23613644800.0,1.95
2021-02-26,399277,3768.73,3828.7,3875.44,3764.4,66797.0,26701305856.0,-0.15
2021-02-25,399277,3895.45,3834.46,3901.49,3823.53,58307.0,22690945024.0,-0.62
2021-02-24,399277,3951.81,3858.27,3956.74,3821.08,67902.0,31980537856.0,-2.42
2021-02-23,399277,3957.68,3954.1,4003.35,3938.76,65314.0,26651035648.0,-1.13
2021-02-22,399277,4113.03,3999.14,4113.03,3999.14,88746.0,31946393600.0,-2.98
2021-02-19,399277,4089.07,4121.84,4121.84,4013.34,75007.0,29570347008.0,0.28
2021-02-18,399277,4318.29,4110.25,4319.43,4105.13,84798.0,39349444608.0,-4.06
2021-02-10,399277,4177.0,4284.36,4306.98,4124.28,69319.0,33091985408.0,3.21
2021-02-09,399277,4082.96,4151.11,4155.14,4066.25,67326.0,28592791552.0,2.02
2021-02-08,399277,4051.15,4068.85,4080.13,3995.3,61929.0,26618976256.0,0.72
2021-02-05,399277,4087.26,4039.6,4138.8,4036.84,70021.0,33156102144.0,-0.6
2021-02-04,399277,4067.17,4063.81,4132.06,4019.02,82459.0,28331411456.0,-1.0
2021-02-03,399277,4152.85,4105.04,4164.8,4092.22,69768.0,30469634048.0,-0.61
2021-02-02,399277,4103.74,4130.23,4133.04,4041.97,64459.0,30768611328.0,1.31
2021-02-01,399277,4025.76,4076.86,4090.4,4004.07,62862.0,23624108032.0,1.51
2021-01-29,399277,4111.31,4016.19,4129.34,3948.48,73463.0,28881821696.0,-1.31
2021-01-28,399277,4157.45,4069.69,4220.89,4066.91,75725.0,30798749696.0,-4.51
2021-01-27,399277,4272.56,4261.73,4296.23,4168.71,73972.0,34212755456.0,-0.71
2021-01-26,399277,4404.74,4292.13,4408.92,4288.81,88849.0,38553894912.0,-3.52
2021-01-25,399277,4473.43,4448.86,4495.31,4411.24,123495.0,51685359616.0,-0.01
2021-01-22,399277,4279.78,4449.19,4456.17,4278.85,111815.0,46943129600.0,3.85
2021-01-21,399277,4207.26,4284.35,4303.22,4205.11,100992.0,43253538816.0,3.43
2021-01-20,399277,4099.55,4142.41,4158.39,4071.91,59627.0,25470900224.0,1.41
2021-01-19,399277,4160.19,4084.74,4171.77,4070.96,71395.0,26007822336.0,-1.93
2021-01-18,399277,4097.99,4165.32,4192.58,4086.7,73174.0,25178157056.0,1.11
2021-01-15,399277,4140.07,4119.44,4159.01,4050.26,75035.0,29957838848.0,-0.89
2021-01-14,399277,4190.89,4156.26,4225.78,4128.34,92919.0,36658274304.0,-1.19
2021-01-13,399277,4235.57,4206.38,4263.01,4182.12,100046.0,38774022144.0,-0.77
2021-01-12,399277,4168.58,4239.05,4239.05,4137.2,82884.0,34194378752.0,1.53
2021-01-11,399277,4184.85,4174.97,4242.11,4142.02,98986.0,41781813248.0,0.49
2021-01-08,399277,4088.76,4154.44,4166.6,4086.8,100876.0,36102434816.0,2.16
2021-01-07,399277,4066.1,4066.57,4083.24,4028.59,101801.0,33564248064.0,-0.11
2021-01-06,399277,3995.63,4071.24,4080.59,3975.79,117392.0,38541414400.0,2.02
2021-01-05,399277,3921.29,3990.59,3994.73,3894.83,85383.0,34178375680.0,1.29
2021-01-04,399277,3899.89,3939.7,3962.85,3881.05,77937.0,32668764160.0,0.68
2020-12-31,399277,3873.27,3913.0,3922.79,3858.78,64926.0,25361985536.0,1.24
2020-12-30,399277,3817.18,3865.13,3874.89,3799.03,60666.0,23770181632.0,1.29
2020-12-29,399277,3845.37,3815.99,3845.76,3789.22,73271.0,21805199360.0,-0.99
2020-12-28,399277,3876.97,3854.06,3897.75,3847.88,73289.0,22634584064.0,-0.28
2020-12-25,399277,3818.7,3864.96,3868.0,3808.22,63474.0,20477607936.0,1.05
2020-12-24,399277,3873.92,3824.79,3878.09,3821.07,81829.0,21916366848.0,-1.6
2020-12-23,399277,3900.31,3887.12,3900.43,3831.3,95371.0,29340876800.0,-0.57
2020-12-22,399277,3922.44,3909.52,3981.75,3904.09,113270.0,37291507712.0,-0.27
2020-12-21,399277,3814.0,3920.08,3920.08,3812.3,65125.0,29207953408.0,3.08
2020-12-18,399277,3831.75,3803.09,3835.48,3792.81,53893.0,21448048640.0,-0.48
2020-12-17,399277,3788.21,3821.44,3841.41,3769.53,62762.0,18516678656.0,0.98
2020-12-16,399277,3820.54,3784.34,3821.74,3763.22,49043.0,16619368448.0,-0.78
2020-12-15,399277,3752.78,3814.2,3838.37,3743.17,51489.0,21552773120.0,1.49
2020-12-14,399277,3710.21,3758.3,3759.99,3682.41,50074.0,19160719360.0,1.6
2020-12-11,399277,3757.21,3699.24,3769.42,3662.3,70415.0,22949251072.0,-1.36
2020-12-10,399277,3716.03,3750.15,3777.26,3703.24,52099.0,19441985536.0,-0.13
2020-12-09,399277,3846.97,3755.17,3859.42,3755.17,59504.0,18209628160.0,-2.16
2020-12-08,399277,3835.8,3838.06,3860.15,3834.13,58861.0,22113320960.0,0.49
2020-12-07,399277,3810.36,3819.28,3838.33,3790.04,56602.0,19723233280.0,-0.04
2020-12-04,399277,3802.36,3820.9,3847.82,3796.77,51207.0,19238565888.0,0.4
2020-12-03,399277,3751.87,3805.84,3832.33,3740.36,67898.0,23189086208.0,1.51
2020-12-02,399277,3754.3,3749.24,3768.03,3716.6,59028.0,21443266560.0,-0.56
2020-12-01,399277,3693.11,3770.53,3771.48,3689.77,61673.0,22090467328.0,1.83
2020-11-30,399277,3696.88,3702.78,3727.07,3643.44,56747.0,20549244928.0,0.08
2020-11-27,399277,3702.72,3699.81,3713.84,3663.69,47888.0,17423511552.0,0.16
2020-11-26,399277,3745.02,3693.96,3747.81,3660.98,54112.0,20999288832.0,-1.19
2020-11-25,399277,3808.42,3738.38,3809.18,3735.0,67879.0,25817935872.0,-2.0
2020-11-24,399277,3860.45,3814.81,3865.26,3800.22,60487.0,24799696896.0,-0.28
2020-11-23,399277,3809.9,3825.38,3834.15,3768.61,71228.0,25724311552.0,1.08
2020-11-20,399277,3725.27,3784.66,3790.49,3723.56,60120.0,24821477376.0,2.07
2020-11-19,399277,3699.98,3707.75,3718.65,3668.68,56354.0,19401052160.0,0.24
2020-11-18,399277,3697.14,3698.92,3743.51,3678.36,53241.0,18682222592.0,0.02
2020-11-17,399277,3806.09,3698.31,3806.09,3668.36,72236.0,26028404736.0,-2.58
